raceName,driverId,constructorId,number,grid,position,positionText,points,laps,time,millis,status,fastestlap,fastestlaptime
British Grand Prix,max_verstappen,red_bull,33,2,1,1,3,17,25:38.426,1538426.0,Finished,14,1:30.013
British Grand Prix,hamilton,mercedes,44,1,2,2,2,17,+1.430,1539856.0,Finished,17,1:29.937
British Grand Prix,bottas,mercedes,77,3,3,3,1,17,+7.502,1545928.0,Finished,17,1:29.958
British Grand Prix,leclerc,ferrari,16,4,4,4,0,17,+11.278,1549704.0,Finished,16,1:30.163
British Grand Prix,norris,mclaren,4,6,5,5,0,17,+24.111,1562537.0,Finished,16,1:30.566
British Grand Prix,ricciardo,mclaren,3,7,6,6,0,17,+30.959,1569385.0,Finished,17,1:30.640
British Grand Prix,alonso,alpine,14,11,7,7,0,17,+43.527,1581953.0,Finished,17,1:31.773
British Grand Prix,vettel,aston_martin,5,10,8,8,0,17,+44.439,1582865.0,Finished,17,1:31.687
British Grand Prix,russell,williams,63,8,9,9,0,17,+46.652,1585078.0,Finished,17,1:32.208
British Grand Prix,ocon,alpine,31,13,10,10,0,17,+47.395,1585821.0,Finished,16,1:32.183
British Grand Prix,sainz,ferrari,55,9,11,11,0,17,+47.798,1586224.0,Finished,10,1:31.991
British Grand Prix,gasly,alphatauri,10,12,12,12,0,17,+48.763,1587189.0,Finished,17,1:32.072
British Grand Prix,raikkonen,alfa,7,17,13,13,0,17,+50.677,1589103.0,Finished,12,1:32.139
British Grand Prix,stroll,aston_martin,18,15,14,14,0,17,+52.179,1590605.0,Finished,12,1:32.210
British Grand Prix,giovinazzi,alfa,99,14,15,15,0,17,+53.225,1591651.0,Finished,14,1:32.457
British Grand Prix,tsunoda,alphatauri,22,16,16,16,0,17,+53.567,1591993.0,Finished,14,1:32.270
British Grand Prix,latifi,williams,6,18,17,17,0,17,+55.162,1593588.0,Finished,17,1:32.143
British Grand Prix,mick_schumacher,haas,47,19,18,18,0,17,+1:08.213,1606639.0,Finished,15,1:32.567
British Grand Prix,mazepin,haas,9,20,19,19,0,17,+1:17.648,1616074.0,Finished,3,1:33.462
British Grand Prix,perez,red_bull,11,5,20,R,0,16,,,Vibrations,6,1:31.465
Italian Grand Prix,bottas,mercedes,77,1,1,1,3,18,27:54.078,1674078.0,Finished,9,1:23.540
Italian Grand Prix,max_verstappen,red_bull,33,3,2,2,2,18,+2.325,1676403.0,Finished,9,1:23.502
