raceName,driverId,constructorId,number,grid,position,positionText,points,laps,time,millis,fastestlap,rank,fastestlaptime,fastestlapspeed,status
Bahrain Grand Prix,alonso,ferrari,8,3,1,1,25,49,1:39:20.396,5960396.0,45,1.0,1:58.287,191.706,Finished
Bahrain Grand Prix,massa,ferrari,7,2,2,2,18,49,+16.099,5976495.0,38,5.0,1:59.732,189.392,Finished
Bahrain Grand Prix,hamilton,mclaren,2,4,3,3,15,49,+23.182,5983578.0,42,4.0,1:59.560,189.665,Finished
Bahrain Grand Prix,vettel,red_bull,5,1,4,4,12,49,+38.799,5999195.0,32,12.0,2:00.218,188.627,Finished
Bahrain Grand Prix,rosberg,mercedes,4,5,5,5,10,49,+40.213,6000609.0,45,13.0,2:00.236,188.599,Finished
Bahrain Grand Prix,michael_schumacher,mercedes,3,7,6,6,8,49,+44.163,6004559.0,45,11.0,2:00.204,188.649,Finished
Bahrain Grand Prix,button,mclaren,1,8,7,7,6,49,+45.280,6005676.0,45,9.0,1:59.970,189.017,Finished
Bahrain Grand Prix,webber,red_bull,6,6,8,8,4,49,+46.360,6006756.0,45,3.0,1:59.487,189.781,Finished
Bahrain Grand Prix,liuzzi,force_india,15,12,9,9,2,49,+53.008,6013404.0,39,7.0,1:59.906,189.118,Finished
Bahrain Grand Prix,barrichello,williams,9,11,10,10,1,49,+1:02.489,6022885.0,47,6.0,1:59.833,189.233,Finished
Bahrain Grand Prix,kubica,renault,11,9,11,11,0,49,+1:09.093,6029489.0,33,14.0,2:00.474,188.226,Finished
Bahrain Grand Prix,sutil,force_india,14,10,12,12,0,49,+1:22.958,6043354.0,49,2.0,1:59.393,189.93,Finished
Bahrain Grand Prix,alguersuari,toro_rosso,17,18,13,13,0,49,+1:32.656,6053052.0,28,8.0,1:59.964,189.026,Finished
Bahrain Grand Prix,hulkenberg,williams,10,13,14,14,0,48,,,34,15.0,2:01.401,186.789,+1 Lap
Bahrain Grand Prix,kovalainen,lotus_racing,19,21,15,15,0,47,,,47,17.0,2:02.701,184.81,+2 Laps
Bahrain Grand Prix,buemi,toro_rosso,16,15,16,16,0,46,,,41,10.0,2:00.080,188.844,Electrical
Bahrain Grand Prix,trulli,lotus_racing,18,20,17,17,0,46,,,34,18.0,2:02.930,184.465,Hydraulics
Bahrain Grand Prix,rosa,sauber,22,14,18,R,0,28,,,27,16.0,2:01.650,186.406,Hydraulics
Bahrain Grand Prix,bruno_senna,hrt,21,23,19,R,0,17,,,14,22.0,2:09.127,175.613,Overheating
Bahrain Grand Prix,glock,virgin,24,19,20,R,0,16,,,11,21.0,2:07.062,178.467,Gearbox
Bahrain Grand Prix,petrov,renault,12,17,21,R,0,13,,,7,19.0,2:04.307,182.422,Suspension
Bahrain Grand Prix,kobayashi,sauber,23,16,22,R,0,11,,,4,20.0,2:05.044,181.347,Hydraulics
Bahrain Grand Prix,grassi,virgin,25,22,23,R,0,2,,,2,23.0,2:09.361,175.295,Hydraulics
Bahrain Grand Prix,chandhok,hrt,20,24,24,R,0,1,,,,,,,Accident
Australian Grand Prix,button,mclaren,1,4,1,1,25,58,1:33:36.531,5616531.0,52,6.0,1:29.291,213.804,Finished
Australian Grand Prix,kubica,renault,11,9,2,2,18,58,+12.034,5628565.0,52,8.0,1:29.570,213.138,Finished
Australian Grand Prix,massa,ferrari,7,5,3,3,15,58,+14.488,5631019.0,52,7.0,1:29.537,213.216,Finished
Australian Grand Prix,alonso,ferrari,8,3,4,4,12,58,+16.304,5632835.0,47,10.0,1:29.707,212.812,Finished
Australian Grand Prix,rosberg,mercedes,4,6,5,5,10,58,+16.683,5633214.0,53,2.0,1:28.489,215.742,Finished
Australian Grand Prix,hamilton,mclaren,2,11,6,6,8,58,+29.898,5646429.0,47,3.0,1:28.506,215.7,Finished
Australian Grand Prix,vettel,red_bull,1,1,1,1,25,58,1:29:30.259,5370259.0,44,4.0,1:29.844,212.488,Finished
Australian Grand Prix,hamilton,mclaren,3,2,2,2,18,58,+22.297,5392556.0,41,8.0,1:30.314,211.382,Finished
Australian Grand Prix,petrov,renault,10,6,3,3,15,58,+30.560,5400819.0,55,7.0,1:30.064,211.969,Finished
Australian Grand Prix,alonso,ferrari,5,5,4,4,12,58,+31.772,5402031.0,49,2.0,1:29.487,213.336,Finished
Australian Grand Prix,webber,red_bull,2,3,5,5,10,58,+38.171,5408430.0,50,3.0,1:29.600,213.066,Finished
Australian Grand Prix,button,mclaren,4,4,6,6,8,58,+54.304,5424563.0,49,5.0,1:29.883,212.396,Finished
Australian Grand Prix,massa,ferrari,6,8,7,7,6,58,+1:25.186,5455445.0,55,1.0,1:28.947,214.631,Finished
Australian Grand Prix,buemi,toro_rosso,18,10,8,8,4,57,,,44,11.0,1:30.836,210.167,+1 Lap
Australian Grand Prix,sutil,force_india,14,16,9,9,2,57,,,55,13.0,1:31.526,208.583,+1 Lap
Australian Grand Prix,resta,force_india,15,14,10,10,1,57,,,40,14.0,1:31.941,207.641,+1 Lap
Australian Grand Prix,alguersuari,toro_rosso,19,12,11,11,0,57,,,41,10.0,1:30.467,211.025,+1 Lap
Australian Grand Prix,heidfeld,renault,9,18,12,12,0,57,,,43,15.0,1:32.377,206.661,+1 Lap
Australian Grand Prix,trulli,lotus_racing,21,20,13,13,0,56,,,52,16.0,1:32.550,206.275,+2 Laps
Australian Grand Prix,ambrosio,virgin,25,22,14,14,0,54,,,44,19.0,1:34.523,201.969,+4 Laps
Australian Grand Prix,glock,virgin,24,21,15,N,0,49,,,48,22.0,1:35.789,199.3,+9 Laps
Australian Grand Prix,barrichello,williams,11,17,16,R,0,48,,,47,12.0,1:31.404,208.861,Transmission
Australian Grand Prix,rosberg,mercedes,8,7,17,R,0,22,,,21,17.0,1:33.503,204.173,Collision
